Video Link,Video Views,Uploaded Date,Comments,Likes,Dislikes
['https://www.youtube.com/watch/VwBb77AZOxI'],"104,714 views","Nov 14, 2017","vidya balan, bollywood, superstitions, logic and you don't talk about  bhool bhulaiya..;/",2K,50
['https://www.youtube.com/watch/VUH_DIgULc0'],"28,087 views","Streamed live on Nov 12, 2017",Beautifully explained . Thanks sir & mam,899,14
['https://www.youtube.com/watch/VRJmcxCrAOA'],"1,548,626 views","Nov 8, 2017","This why director's are just making Sequels, copying and remaking south Indian movies, remaking old Bollywood classic movies but they are afraid make new movies because they have to keep 1.3 billion people views in mind if they have hurt their feelings or not",41K,5K
['https://www.youtube.com/watch/voG07pt-KYI'],"1,630,989 views","Nov 14, 2017",நான் இலங்கை நாட்டைச் சேர்ந்தவன் (முஸ்லிம்) .ஆனால்  நான் தமிழன்.❤,39K,1.8K
['https://www.youtube.com/watch/vn9mMeWcgoM'],"1,709,253 views","Nov 10, 2017","Awesom madam 
Hat's off to u👏👏👏👏👏👏",4.7K,940
['https://www.youtube.com/watch/vMLs3kIuhzA'],"30,246,305 views","May 1, 2018","R.I.P. Anthony the Ant,  you will forever be remembered.",491K,12K
['https://www.youtube.com/watch/VKsGT2mPEfA'],"1,024,045 views","Nov 11, 2017","Virat, anushka n hardik look awsm",3.2K,826
['https://www.youtube.com/watch/vkr74kiEPM4'],"2,045,369 views","Nov 13, 2017",,2.3K,619
['https://www.youtube.com/watch/Vk8UEWHYfEg'],"304,742 views","Nov 14, 2017",Who is watching in 2020 and is shocked to see Antil's transformation???😉😉,17K,119
['https://www.youtube.com/watch/VJwoSfTOhyM'],"866,436 views","Nov 14, 2017",will try thanks for the tips,3K,526
['https://www.youtube.com/watch/viUWXtRLNgo'],"1,197,064 views","Nov 13, 2017","Congress se paise le kar randibaji karta hai ,,chutia patel☝️☝️",1.5K,1.5K
['https://www.youtube.com/watch/vetQ9MlYq_w'],"1,575,736 views","Nov 12, 2017",KOLKATA MEETUP ON 19TH NOVEMBER! WILL UPDATE THE TIME AND VENUE ON MY INSTAGTAM: https://www.instagram.com/TheRawKnee,86K,4.2K
['https://www.youtube.com/watch/v-dfygYIfLs'],"846,518 views","Nov 11, 2017","That girl watching video is so damn jealous of Priyanka...
😂😂
Oh poor girl ..not your fault.. anyone would be jealous of her...",13K,506
['https://www.youtube.com/watch/V8b805Xk6KU'],"1,970,936 views","Feb 12, 2018","How to participate:
1. Like and Share this video.
2. Follow Oneplus India on Instagram: ****https://www.instagram.com/oneplus_india/
3. Subscribe to Technical Guruji on YouTube",152K,1.9K
['https://www.youtube.com/watch/V4olAUYK6aE'],"202,071 views","Streamed live on Nov 11, 2017",Mashaallah,4.2K,343
['https://www.youtube.com/watch/v3nuxG2Q6Ew'],"250,095 views","Nov 14, 2017","4:02 
 The girl : wo name nahi hai days ke apko firse school Jana parega
Savage😎😎😂😂",7.4K,197
['https://www.youtube.com/watch/V2VquEl3zzE'],"46,692 views","Streamed live on Nov 13, 2017","Thanks for watching :) To get all latest videos in your mailbox, subscribe to our youtube channel - https://www.youtube.com/adda247live",1K,45
['https://www.youtube.com/watch/UZZJT2dN1QM'],"115,887 views","Nov 12, 2017","9 roses, arey rana ekkada undu ra ni ------ dash ga ninnu emani tittali ra maida pindi",87,147
['https://www.youtube.com/watch/uzcHSrzwp9I'],"246,351 views","Nov 14, 2017",sunthare akka super😍😍😍......,966,203
['https://www.youtube.com/watch/UUkn-enk2RU'],"80,980,910 views","Apr 23, 2018","Trailer: Dark and Serious

Movie: Comedic and Goofy",1.4M,52K
['https://www.youtube.com/watch/UTVFNrRwL1o'],"20,255,858 views","Nov 12, 2017","Sprechen Sie Deutsch? Abonniert - http://bit.ly/2wo0oOR 😉
If you like the video - don't forget to share it with your friends! We are really appreciate your support.
More ideas: https://youtu.be/W5p2ndS34vA?list=PLy0LaulZe0vSzNLVwlQZVJszbLCsIwl_C
★ Let's be friends: ",81K,9K
['https://www.youtube.com/watch/UtqE056lqas'],"1,851,910 views","Nov 11, 2017",Waah Murari Bhai Ji ! kya baat hai ! Maza Aaa Gaya !! :)आशा है आप और आपके प्रिय दर्शक मेरे नए शुरू हुवे चैनल पर राजस्थानी हरयाणवी डांस भी अवश्य पसंद करेंगे !,12K,1.5K
['https://www.youtube.com/watch/uR5ucuK7Ssk'],"1,799,485 views","May 31, 2018",LIKE aur SHARE kar dena :) Results are announced here: https://twitter.com/TechnicalGuruji/status/1005161850017894400,366K,3.5K
['https://www.youtube.com/watch/UQ5M6AsmBUI'],"85,934 views","Nov 14, 2017","Beat the competition with Study-IQ PEN DRIVE & TABLET courses, To Buy call  95-8004-8004 or 7291059476 or visit - www.studyiq.com

Join TELEGRAM group of Study IQ -",3.1K,63
['https://www.youtube.com/watch/UnDJFsPwg7o'],"178,534 views","Nov 12, 2017",Thank you man for the reply. BM Anila,915,294
['https://www.youtube.com/watch/Ulz2Pg-aLkY'],"7,998,420 views","Mar 2, 2018",What a beautiful tribute to nintendo without an e. Absolutely amazing!,429K,5.7K
